,neighborhood,borough,nb latitude,nb longitude,lyft_pickups
193,Brookville,Queens,40.66000322733613,-73.75175310731153,26
194,Bellaire,Queens,40.73301404027834,-73.73889198912481,12
195,North Corona,Queens,40.7540709990489,-73.85751790676447,76
196,Forest Hills Gardens,Queens,40.7146110815117,-73.8410221123401,73
197,St. George,Staten Island,40.6449815710044,-74.07935312512797,5
198,New Brighton,Staten Island,40.64061455913511,-74.08701650516625,2
199,Stapleton,Staten Island,40.62692762538176,-74.07790192660066,5
200,Rosebank,Staten Island,40.61530494652761,-74.06980526716141,1
201,West Brighton,Staten Island,40.63187892654607,-74.1071817826561,5
202,Grymes Hill,Staten Island,40.624184791313006,-74.08724819983729,3
203,Todt Hill,Staten Island,40.59706851814673,-74.1113288180088,1
204,South Beach,Staten Island,40.58024741350956,-74.0795529253982,1
205,Port Richmond,Staten Island,40.63366930554365,-74.12943426797008,1
206,Mariner's Harbor,Staten Island,40.632546390481124,-74.15008537046981,2
207,Port Ivory,Staten Island,40.63968297845542,-74.17464532993542,1
208,Castleton Corners,Staten Island,40.61333593766742,-74.11918058534842,4
209,New Springville,Staten Island,40.594252379161695,-74.16496031329827,13
210,Travis,Staten Island,40.58631375103281,-74.19073717538116,1
211,New Dorp,Staten Island,40.57257231820632,-74.1164794360638,1
212,Oakwood,Staten Island,40.5584622432888,-74.12156593771896,0
213,Great Kills,Staten Island,40.549480228713605,-74.14932381490992,0
214,Eltingville,Staten Island,40.542230747450745,-74.1643308041936,0
215,Annadale,Staten Island,40.53811417474507,-74.17854866165878,0
216,Woodrow,Staten Island,40.541967622888755,-74.20524582480326,0
217,Tottenville,Staten Island,40.50533376115642,-74.24656934235283,0
218,Tompkinsville,Staten Island,40.637316067110326,-74.08055351790115,6
219,Silver Lake,Staten Island,40.61919310792676,-74.09629029235458,7
220,Sunnyside,Staten Island,40.61276015756489,-74.0971255217853,3
221,Ditmas Park,Brooklyn,40.643675183340974,-73.96101312466779,88
222,Wingate,Brooklyn,40.66094656188111,-73.93718680559314,386
223,Rugby,Brooklyn,40.655572313280764,-73.92688212616955,247
224,Park Hill,Staten Island,40.60919044434558,-74.08015734936296,15
225,Westerleigh,Staten Island,40.62109047275409,-74.13304143951704,2
226,Graniteville,Staten Island,40.620171512231884,-74.15315246387762,11
227,Arlington,Staten Island,40.63532509911492,-74.16510420241124,1
228,Arrochar,Staten Island,40.596312571276734,-74.06712363225574,14
229,Grasmere,Staten Island,40.59826835959991,-74.0766743627905,3
230,Old Town,Staten Island,40.59632891379513,-74.08751118005578,3
231,Dongan Hills,Staten Island,40.588672948199275,-74.09639905312521,3
232,Midland Beach,Staten Island,40.57352690574283,-74.09348266303591,4
233,Grant City,Staten Island,40.57621558711788,-74.10585598545434,0
234,New Dorp Beach,Staten Island,40.56425549307335,-74.10432707469124,0
235,Bay Terrace,Staten Island,40.55398800858462,-74.13916622175768,0
236,Huguenot,Staten Island,40.531911920489605,-74.19174105747814,0
237,Pleasant Plains,Staten Island,40.524699376118136,-74.21983106616777,0
238,Butler Manor,Staten Island,40.50608165346305,-74.22950350260027,0
239,Charleston,Staten Island,40.53053148283314,-74.23215775896526,1
240,Rossville,Staten Island,40.54940400650072,-74.21572851113952,0
241,Arden Heights,Staten Island,40.54928582278321,-74.18588674583893,1
242,Greenridge,Staten Island,40.555295236173194,-74.17079414786092,0
243,Heartland Village,Staten Island,40.58913894875281,-74.15902208156601,1
244,Chelsea,Staten Island,40.59472602746295,-74.1895604551969,3
245,Bloomfield,Staten Island,40.60577868452358,-74.18725638381567,1
246,Bulls Head,Staten Island,40.6095918004203,-74.15940948657122,3
247,Carnegie Hill,Manhattan,40.7826825671257,-73.95325646837112,2117
248,Noho,Manhattan,40.72325901885768,-73.98843368023597,5160
249,Civic Center,Manhattan,40.71522892046282,-74.00541529873355,1569
250,Midtown South,Manhattan,40.7485096643122,-73.98871313285247,8124
251,Richmond Town,Staten Island,40.56960594275505,-74.1340572986257,0
252,Shore Acres,Staten Island,40.60971934079284,-74.06667766061771,3
253,Clifton,Staten Island,40.61917845202843,-74.072642445484,1
254,Concord,Staten Island,40.6044731896879,-74.08402364740358,0
255,Emerson Hill,Staten Island,40.606794394801,-74.09776206972522,0
256,Randall Manor,Staten Island,40.63563000681151,-74.09805062373887,1
257,Howland Hook,Staten Island,40.63843283794795,-74.18622331749823,0
258,Elm Park,Staten Island,40.630146741193826,-74.1418167896889,1
259,Remsen Village,Brooklyn,40.652117451793494,-73.91665331978048,99
260,New Lots,Brooklyn,40.6627442796966,-73.88511776379292,156
261,Paerdegat Basin,Brooklyn,40.63131755039667,-73.90233474295836,51
262,Mill Basin,Brooklyn,40.61597423962336,-73.91515391550404,52
263,Jamaica Hills,Queens,40.71145964370482,-73.79646462081593,77
264,Utopia,Queens,40.73350025429757,-73.79671678028349,35
265,Pomonok,Queens,40.73493618075478,-73.80486120040537,47
266,Astoria Heights,Queens,40.7703173929982,-73.89467996270574,133
267,Claremont Village,Bronx,40.83142834161548,-73.90119903387667,56
268,Concourse Village,Bronx,40.824780490842905,-73.91584652759009,106
269,Mount Eden,Bronx,40.84382617671654,-73.91655551964419,68
270,Mount Hope,Bronx,40.84884160724665,-73.90829930881988,67
271,Sutton Place,Manhattan,40.76028033131374,-73.96355614094303,5046
272,Hunters Point,Queens,40.743414090073536,-73.95386782130745,858
273,Turtle Bay,Manhattan,40.75204236950722,-73.96770824581834,3351
274,Tudor City,Manhattan,40.746917410740195,-73.97121928722265,773
275,Stuyvesant Town,Manhattan,40.73099955477061,-73.97405170469203,736
276,Flatiron,Manhattan,40.739673047638426,-73.9909471052826,7285
