,neighborhood,venue
714,Melrose,Clothing Store
715,Melrose,Grocery Store / Supermarket
716,Melrose,Mexican Restaurant
717,Melrose,Pizzeria
718,Melrose,Laundry Service
719,Melrose,Latin American Restaurant
720,Melrose,Deli
721,Melrose,Fast Food Restaurant
722,Melrose,Pizzeria
723,Melrose,Grocery Store / Supermarket
724,Melrose,Fast Food Restaurant
725,Melrose,Mac and Cheese Joint
726,Melrose,Office Supply Store
727,Melrose,Drugstore
728,Melrose,Wine Bar
729,Melrose,Department Store
730,Melrose,Grocery Store / Supermarket
731,Melrose,Pizzeria
732,Melrose,Discount Store
733,Melrose,Grocery Store / Supermarket
734,Melrose,Tattoo Parlor
735,Melrose,Burger Joint
736,Melrose,Grocery Store / Supermarket
737,Melrose,Chinese Restaurant
738,Melrose,Mobile Phone Store
739,Melrose,Department Store
740,Melrose,Health Food Store
741,Melrose,Department Store
742,Melrose,Hair Salon
743,Melrose,Fast Food Restaurant
744,Melrose,Pizzeria
745,Melrose,Children's Clothing Store
746,Melrose,Check Cashing Service
747,Melrose,Fast Food Restaurant
748,Melrose,Grocery Store / Supermarket
749,Melrose,Bagel Shop
750,Melrose,Buffet
751,Melrose,African Restaurant
752,Mott Haven,Discount Store
753,Mott Haven,Latin American Restaurant
754,Mott Haven,Pizzeria
755,Mott Haven,Grocery Store / Supermarket
756,Mott Haven,Farmers' Market
757,Mott Haven,Drugstore
758,Mott Haven,Pizzeria
759,Mott Haven,Mobile Phone Store
760,Mott Haven,Bakery
761,Mott Haven,Burger Joint
762,Mott Haven,Bagel Shop
763,Mott Haven,Food Court
764,Mott Haven,Cuban Restaurant
765,Mott Haven,Baseball Field
766,Mott Haven,American Restaurant
767,Mott Haven,Equipment Rental Service
768,Mott Haven,Night Club
769,Mott Haven,Park
770,Mott Haven,American Restaurant
771,Mott Haven,Latin American Restaurant
772,Mott Haven,Hardware Store
773,Mott Haven,Spanish Restaurant
774,Mott Haven,Restaurant
775,Mott Haven,Bakery
776,Mott Haven,Electrician
777,Mott Haven,Storage Facility
778,Mott Haven,Flower Store
779,Mott Haven,Bagel Shop
780,Mott Haven,Automotive Retail
781,Mott Haven,Costume Store
782,Mott Haven,Park
783,Mott Haven,Storage Facility
784,Mott Haven,Deli
785,Mott Haven,Logging Service
786,Port Morris,Brewery
787,Port Morris,Music Venue
788,Port Morris,Logging Service
789,Port Morris,Bar
790,Port Morris,Restaurant
791,Port Morris,Spanish Restaurant
792,Port Morris,Equipment Rental Service
793,Port Morris,Food Court
794,Port Morris,Art Gallery
795,Port Morris,American Restaurant
796,Port Morris,Latin American Restaurant
797,Port Morris,Latin American Restaurant
798,Port Morris,Baseball Field
799,Port Morris,Flower Store
800,Port Morris,Bagel Shop
801,Port Morris,Hardware Store
802,Port Morris,Storage Facility
803,Port Morris,Furniture and Home Store
804,Port Morris,Park
805,Port Morris,Discount Store
806,Port Morris,Baseball Field
807,Port Morris,Bridge
808,Port Morris,Performing Arts Venue
809,Port Morris,Landmarks and Outdoors
810,Longwood,Latin American Restaurant
811,Longwood,Fast Food Restaurant
812,Longwood,Diner
813,Longwood,Grocery Store / Supermarket
814,Longwood,Bagel Shop
815,Longwood,Hair Salon
816,Longwood,Asian Restaurant
817,Longwood,Discount Store
818,Longwood,Discount Store
819,Longwood,Playground
820,Longwood,Non-Profit Organization
821,Longwood,Art Gallery
822,Longwood,Plumber
823,Longwood,Deli
824,Longwood,Import and Export Service
825,Hunts Point,Bank
826,Hunts Point,Bank
827,Hunts Point,Pizzeria
828,Hunts Point,Car Parts and Accessories
829,Hunts Point,BBQ Joint
830,Hunts Point,Fish Market
831,Hunts Point,Welding Service
832,Hunts Point,Juice Bar
833,Hunts Point,Other Great Outdoors
834,Hunts Point,Art Gallery
835,Hunts Point,Fruit and Vegetable Store
836,Hunts Point,Automotive Repair Shop
837,Hunts Point,Farmers' Market
838,Hunts Point,Retail
839,Hunts Point,Automotive Retail
840,Hunts Point,Restaurant
841,Morrisania,Restaurant
842,Morrisania,Bakery
843,Morrisania,Liquor Store
844,Morrisania,Ice Cream Parlor
845,Morrisania,Discount Store
846,Morrisania,Seafood Restaurant
847,Morrisania,Discount Store
848,Morrisania,Chinese Restaurant
849,Morrisania,Bakery
850,Morrisania,Bagel Shop
851,Morrisania,Public Art
852,Morrisania,Baseball Field
853,Morrisania,Grocery Store / Supermarket
854,Morrisania,Funeral Home
855,Morrisania,Health and Beauty Service
856,Morrisania,Pizzeria
857,Morrisania,Bagel Shop
858,Morrisania,Fish Market
859,Morrisania,Farmers' Market
860,Morrisania,Playground
861,Morrisania,Fast Food Restaurant
862,Morrisania,Drugstore
863,Morrisania,Pizzeria
864,Morrisania,Financial Service
865,Morrisania,Discount Store
866,Morrisania,Fast Food Restaurant
867,Morrisania,Discount Store
868,Morrisania,Grocery Store / Supermarket
869,Morrisania,Fast Food Restaurant
870,Morrisania,Nail Salon
871,Morrisania,Latin American Restaurant
872,Morrisania,Caribbean Restaurant
873,Morrisania,Asian Restaurant
874,Morrisania,Grocery Store / Supermarket
875,Morrisania,Asian Restaurant
876,Morrisania,Pizzeria
877,Morrisania,Public and Social Service
878,Morrisania,Bakery
879,Morrisania,Liquor Store
880,Morrisania,Grocery Store / Supermarket
881,Morrisania,High School
882,Morrisania,Coffee Shop
883,Morrisania,Park
884,Morrisania,Caribbean Restaurant
